# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	48101
#@/user_id	2e78a248-4bb3-4f88-87b4-60fa7da6ab99
a 	啊	c=4 d=1.03765e-17 t=48101
le duo 	樂多	c=1 d=1 t=40899
le guan 	樂觀	c=2 d=2.31543e-54 t=48101
le ha 	了哈	c=23 d=0.0107572 t=48101
le ma 	了嗎	c=115 d=0.00290658 t=48101
le mei 	了沒	c=4 d=0.292293 t=48101
le ne 	了呢	c=1 d=1.9946e-64 t=48101
le ya 	了呀	c=9 d=0.031572 t=48101
le yi xia 	了一下	c=1 d=1.73137e-46 t=48101
lei 	累	c=1 d=5.57639e-71 t=48101
lei 	類	c=11 d=0.00512887 t=48101
lei bie 	類別	c=2 d=4.65327e-79 t=48101
lei bu 	累不	c=2 d=2.54877e-82 t=48101
lei mu 	類目	c=6 d=0.532736 t=48101
lei shi 	類似	c=38 d=0.0827587 t=48101
lei si 	累死	c=1 d=2.05144e-71 t=48101
lei si lei huo 	累死累活	c=1 d=1.69093e-62 t=48101
lei xing 	類型	c=4 d=2.36437e-06 t=48101
li 	裏	c=49 d=0.100762 t=48101
li chun hua 	麗春花	c=1 d=6.42811e-08 t=48101
li dan 	李丹	c=1 d=6.40217e-78 t=48101
li de 	裏的	c=1 d=3.2586e-74 t=48101
li fang wei 	李方偉	c=3 d=0.286505 t=48101
li gong 	理工	c=1 d=1.2592e-35 t=48101
li hai 	厲害	c=8 d=0.0193128 t=48101
li hai le 	厲害了	c=1 d=2.06783e-47 t=48101
li hui 	理會	c=1 d=4.35799e-53 t=48101
li ji 	立即	c=17 d=0.132483 t=48101
li ji ti yan 	立即體驗	c=2 d=0.0599047 t=48101
li jia qi 	李佳琦	c=1 d=0.155673 t=48101
li jie 	理解	c=3 d=0.000829249 t=48101
li li wai wai 	裏裏外外	c=1 d=1.98088e-71 t=48101
li ma 	立馬	c=2 d=2.46128e-08 t=48101
li mian 	裏面	c=20 d=9.17872e-05 t=48101
li nian 	歷年	c=1 d=1 t=46975
li ning 	李寧	c=1 d=4.47045e-88 t=48101
li pin 	禮品	c=1 d=8.76425e-08 t=48101
li run 	利潤	c=1 d=4.75932e-60 t=48101
li shi 	歷史	c=7 d=5.15325e-25 t=48101
li ti tu 	立體圖	c=2 d=5.8565e-81 t=48101
li xian 	離線	c=6 d=1 t=47071
li xiao lu 	李小璐	c=1 d=5.6265e-88 t=48101
li yi 	利益	c=6 d=2.3348e-05 t=48101
li yong 	利用	c=8 d=5.04262e-05 t=48101
li yong lv 	利用率	c=1 d=7.29718e-88 t=48101
li you 	理由	c=2 d=1.51139e-65 t=48101
li zhi 	勵志	c=1 d=1 t=41876
li zhi 	離職	c=4 d=5.5845e-58 t=48101
li zhi le 	離職了	c=1 d=2.39954e-62 t=48101
li zi 	栗子	c=1 d=3.94327e-53 t=48101
li zong 	李總	c=1 d=9.69094e-14 t=48101
lia 	倆	c=1 d=5.75013e-79 t=48101
lian 	臉	c=4 d=1.43282e-63 t=48101
lian 	連	c=2 d=6.51974e-37 t=48101
lian 	鏈	c=0 d=2.72013e-09 t=48101
lian biao 	鏈表	c=1 d=1 t=41042
lian che 	練車	c=2 d=1.12944e-80 t=48101
lian che chang 	練車場	c=1 d=2.72274e-78 t=48101
lian dong 	聯動	c=1 d=0.315058 t=48101
lian he 	聯合	c=3 d=2.89489e-62 t=48101
lian jia 	廉價	c=2 d=2.01985e-57 t=48101
lian jie 	連接	c=48 d=0.937067 t=48101
lian jie 	鏈接	c=198 d=2.88275 t=48101
lian jie chi 	連接池	c=4 d=1.17775e-13 t=48101
lian meng 	聯盟	c=4 d=5.35717e-11 t=48101
lian pa 	臉趴	c=11 d=3.34757e-38 t=48101
lian shi 	鏈式	c=1 d=1 t=45990
lian suo dian 	連鎖店	c=1 d=5.67918e-80 t=48101
lian tong 	聯通	c=3 d=2.35482e-09 t=48101
lian wang 	聯網	c=1 d=1 t=43258
lian xi 	聯繫	c=34 d=0.193139 t=48101
lian xi wo 	聯繫我	c=4 d=3.50176e-09 t=48101
lian xiang 	聯想	c=3 d=2.79975e-75 t=48101
lian yi lian 	練一練	c=1 d=1.70589e-48 t=48101
lian yi qun 	連衣裙	c=1 d=1.56789e-85 t=48101
lian zhe 	連着	c=2 d=6.13919e-37 t=48101
liang 	兩	c=1 d=5.72145e-79 t=48101
liang 	量	c=4 d=1.05903e-57 t=48101
liang ban 	兩班	c=1 d=2.00836e-86 t=48101
liang ban dao 	兩班倒	c=1 d=6.89728e-72 t=48101
liang bu 	兩步	c=2 d=2.39594e-15 t=48101
liang ceng 	兩層	c=1 d=1.62015e-59 t=48101
liang ci 	兩次	c=4 d=4.11999e-10 t=48101
liang dan 	兩單	c=1 d=3.63576e-39 t=48101
liang du 	亮度	c=2 d=5.68789e-61 t=48101
liang fen zhong 	兩分鐘	c=4 d=1.57648 t=44613
liang ge 	兩個	c=10 d=8.14987e-12 t=48101
liang ge ren 	兩個人	c=1 d=6.65778e-68 t=48101
liang ge zi 	兩個字	c=1 d=1.25488e-24 t=48101
liang hao 	兩號	c=1 d=6.81472e-48 t=48101
liang le 	涼了	c=2 d=8.93565e-61 t=48101
liang liang 	涼涼	c=2 d=4.65467e-64 t=48101
liang liang le 	涼涼了	c=1 d=4.67795e-63 t=48101
liang lie 	兩列	c=1 d=5.74445e-38 t=48101
liang ming 	兩名	c=1 d=1.79024e-57 t=48101
liang nian 	兩年	c=1 d=6.30149e-68 t=48101
liang ping 	兩瓶	c=1 d=1.41367e-15 t=48101
liang ping jiu 	兩瓶酒	c=1 d=1 t=41724
liang tiao 	兩條	c=1 d=2.09616e-60 t=48101
liang xiang 	兩項	c=9 d=1.00604e-20 t=48101
liang xin 	良心	c=2 d=1.96865e-57 t=48101
liang zhe 	兩者	c=1 d=3.94742e-36 t=48101
liang zhong 	兩種	c=4 d=9.7091e-36 t=48101
liang zu 	兩組	c=1 d=6.56871e-86 t=48101
liao 	了	c=1 d=5.20593e-27 t=48101
liao 	聊	c=7 d=3.90403e-53 t=48101
liao de lai 	聊得來	c=1 d=3.07363e-63 t=48101
liao jie 	瞭解	c=16 d=0.00232276 t=48101
liao jie dao 	瞭解到	c=1 d=2.26719e-71 t=48101
liao liao tian 	聊聊天	c=1 d=2.46447e-82 t=48101
liao tian 	聊天	c=31 d=0.927743 t=48101
liao tian ji lu 	聊天記錄	c=2 d=3.49575e-67 t=48101
liao tian zhu shou 	聊天助手	c=1 d=2.3501e-23 t=48101
lie biao 	列表	c=77 d=0.920169 t=48101
lie chu 	列出	c=4 d=2.87035e-37 t=48101
lie hen 	裂痕	c=1 d=1.06325e-45 t=48101
lin 	林	c=1 d=4.93169e-08 t=48101
lin jin 	臨近	c=1 d=2.13074e-76 t=48101
lin men yi jiao 	臨門一腳	c=1 d=5.04401e-67 t=48101
lin shi 	臨時	c=15 d=0.481909 t=48101
lin xiong 	林雄	c=0 d=4.28872e-42 t=48101
lin xiong hui 	林雄輝	c=17 d=0.651303 t=48101
lin zi 	林子	c=1 d=3.62638e-38 t=48101
ling 	另	c=1 d=2.77443e-64 t=48101
ling chen 	凌晨	c=1 d=0.00138785 t=48101
ling hun 	靈魂	c=3 d=5.73937e-57 t=48101
ling jian 	零件	c=1 d=2.30506e-60 t=48101
ling le 	領了	c=1 d=1.4168e-40 t=48101
ling ren 	令人	c=2 d=8.93464e-58 t=48101
ling shou 	零售	c=1 d=1 t=41629
ling wai 	另外	c=9 d=0.00214418 t=48101
ling wu 	領悟	c=1 d=5.76618e-53 t=48101
ling yi 	另一	c=1 d=3.54528e-66 t=48101
ling yi fan 	另一番	c=1 d=2.01048e-69 t=48101
ling yi fang mian 	另一方面	c=1 d=2.31235e-09 t=48101
ling yi ge 	另一個	c=3 d=0.000665481 t=48101
ling yi ge ren 	另一個人	c=1 d=2.24349e-65 t=48101
ling yi jia 	另一家	c=1 d=0.00173804 t=48101
ling yi ming 	另一名	c=1 d=1.90224e-65 t=48101
ling yi pian 	另一篇	c=1 d=3.7645e-66 t=48101
ling yi xie 	另一些	c=1 d=3.89859e-66 t=48101
ling yi zhong 	另一種	c=1 d=7.93536e-45 t=48101
ling yu 	領域	c=1 d=4.85877e-68 t=48101
linux 	Linux	c=1 d=4.30816e-06 t=48101
liu 	六	c=4 d=2.03572e-10 t=48101
liu 	劉	c=1 d=1 t=44777
liu 	留	c=2 d=2.88324e-46 t=48101
liu chang 	流暢	c=1 d=6.77013e-59 t=48101
liu cheng 	流程	c=1 d=1.43031e-34 t=48101
liu chu 	留出	c=2 d=2.30263e-77 t=48101
liu cun 	留存	c=5 d=1.6004e-56 t=48101
liu dian ban 	六點半	c=0 d=4.08164e-48 t=48101
liu huang zao 	硫磺皁	c=1 d=1.31416e-67 t=48101
liu lan 	瀏覽	c=1 d=1 t=44358
liu lan liang 	瀏覽量	c=1 d=7.71527e-67 t=48101
liu lan qi 	瀏覽器	c=109 d=0.362402 t=48101
liu liang 	流量	c=2 d=1 t=47158
liu nian 	六年	c=1 d=8.16286e-54 t=48101
liu qing xiang 	劉慶響	c=1 d=2.87766e-82 t=48101
liu rui 	劉瑞	c=0 d=2.22668e-07 t=48101
liu rui wen 	劉瑞文	c=2 d=2.05018e-05 t=48101
liu tang 	流淌	c=2 d=6.07995e-57 t=48101
liu tong 	流通	c=1 d=1 t=46450
liu xia 	留下	c=1 d=2.32585e-48 t=48101
liu xiao 	劉小	c=0 d=7.02704e-57 t=48101
liu xiao hei 	劉小黑	c=2 d=1.42312e-55 t=48101
liu xue 	留學	c=7 d=3.81906e-05 t=48101
liu yan 	留言	c=1 d=0.332871 t=48101
liu yi 	留意	c=2 d=5.12913e-58 t=48101
long luo 	籠絡	c=1 d=1.42067e-72 t=48101
long tong 	籠統	c=2 d=1.96079 t=46403
lou 	樓	c=4 d=0.000284437 t=48101
lou 	漏	c=2 d=2.07649e-08 t=48101
lou dong 	漏洞	c=4 d=1.90823 t=48101
lou dong bai chu 	漏洞百出	c=1 d=1.02469e-81 t=48101
lou kong 	鏤空	c=3 d=7.49131e-44 t=48101
lou le 	漏了	c=1 d=7.51558e-82 t=48101
lou xia 	樓下	c=1 d=2.22426e-52 t=48101
lou zhu 	樓主	c=2 d=3.51587e-69 t=48101
lu 	擼	c=1 d=1.32651e-30 t=48101
lu 	路	c=13 d=4.2984e-54 t=48101
lu duan 	路段	c=1 d=1.61432e-46 t=48101
lu hui jiao 	蘆薈膠	c=1 d=5.71154e-88 t=48101
lu jing 	路徑	c=3 d=1.20153 t=48101
lu ku 	路酷	c=1 d=1.37278e-51 t=48101
lu lian 	露臉	c=1 d=1.07778e-87 t=48101
lu shang 	路上	c=2 d=8.89298e-46 t=48101
lu yi 	路易	c=1 d=1 t=41000
lu yin 	錄音	c=2 d=1.02813e-61 t=48101
lu you 	路由	c=1 d=8.21802e-45 t=48101
lu you qi 	路由器	c=3 d=1.96357e-56 t=48101
lu zhi 	錄製	c=1 d=6.66799e-86 t=48101
luan 	亂	c=3 d=7.42101e-57 t=48101
luan dian 	亂點	c=1 d=7.74101e-18 t=48101
luan ma 	亂碼	c=6 d=1.03894 t=48101
luan xu 	亂序	c=3 d=0.396531 t=48101
luan yong 	亂用	c=1 d=1.03383e-09 t=48101
lun bo 	輪播	c=1 d=0.0544757 t=48101
lun bu 	綸布	c=1 d=0.054204 t=48101
lun hua 	輪滑	c=1 d=1.98229e-50 t=48101
lun ke 	論客	c=2 d=3.23935e-26 t=48101
lun tan 	論壇	c=7 d=1.76304e-24 t=48101
lun wen 	論文	c=0 d=1.65355e-06 t=48101
luo 	羅	c=0 d=1.08266e-53 t=48101
luo ji 	邏輯	c=3 d=4.07531e-72 t=48101
luo shui 	裸睡	c=1 d=5.48309e-49 t=48101
luo wen 	羅文	c=0 d=0.1 t=41173
luo wen jun 	羅文均	c=1 d=1 t=41174
luo xuan 	螺旋	c=1 d=1.30117e-09 t=48101
luo ye 	落葉	c=1 d=4.37671e-74 t=48101
luo yu long 	羅玉龍	c=1 d=1.08809e-52 t=48101
lv 	呂	c=2 d=1.1417e-59 t=48101
lv 	率	c=0 d=4.93001e-05 t=48101
lv se 	綠色	c=8 d=0.0893673 t=48101
lv tu yu kuai 	旅途愉快	c=1 d=4.61474e-50 t=48101
lv you 	旅遊	c=2 d=6.2895e-75 t=48101
lv zhuan 	綠磚	c=7 d=9.33029e-09 t=48101
lv zuan 	綠鑽	c=1 d=1.39861e-35 t=48101
lve gui 	略貴	c=1 d=1.04992e-73 t=48101
ma 	嗎	c=425 d=1.29104 t=48101
ma 	嘛	c=1 d=2.29122e-48 t=48101
ma 	碼	c=11 d=0.0144076 t=48101
ma 	罵	c=6 d=2.43314e-12 t=48101
ma fan 	麻煩	c=87 d=0.0413911 t=48101
ma ji de 	馬繼德	c=30 d=0.321422 t=48101
ma jia 	馬甲	c=1 d=1.21251e-61 t=48101
ma jiang 	麻將	c=1 d=3.713e-51 t=48101
ma ma 	媽媽	c=4 d=8.70277e-79 t=48101
ma shang 	馬上	c=8 d=4.46237e-08 t=48101
ma su 	馬蘇	c=1 d=5.65471e-88 t=48101
ma tong 	馬桶	c=1 d=7.30635e-44 t=48101
ma yi 	螞蟻	c=1 d=1.25484e-53 t=48101
ma yun 	碼雲	c=3 d=0.453845 t=48101
mac 	Mac	c=1 d=4.42776e-34 t=48101
mai 	買	c=15 d=0.0300468 t=48101
mai 	賣	c=20 d=0.479505 t=48101
mai ba 	買吧	c=1 d=1.74937e-50 t=48101
mai dao 	買到	c=1 d=1.17001e-53 t=48101
mai de 	買的	c=4 d=1.2363e-49 t=48101
mai di bao 	麥迪堡	c=1 d=1 t=46467
mai dian 	買點	c=1 d=1.02965e-79 t=48101
mai ge 	買個	c=3 d=4.75693e-50 t=48101
mai hao 	買好	c=0 d=2.36623e-75 t=48101
mai hao xie 	買好些	c=1 d=2.37809e-74 t=48101
mai jia 	買家	c=8 d=0.0498268 t=48101
mai jia 	賣家	c=5 d=0.000680911 t=48101
mai le 	買了	c=4 d=0.00172937 t=48101
mai mai 	脉脉	c=21 d=4.45705e-61 t=48101
mai mai de 	脉脉的	c=1 d=1.85496e-63 t=48101
mai xia 	買下	c=1 d=0.666977 t=48101
mai xie 	買鞋	c=1 d=2.40199e-74 t=48101
mai xie 	賣鞋	c=1 d=5.03613e-78 t=48101
mai yi dian 	買一點	c=2 d=2.11542e-50 t=48101
mai yi ge 	買一個	c=1 d=2.1385e-60 t=48101
mai yi shuang 	買一雙	c=1 d=1.03232e-80 t=48101
mai yi shuang 	賣一雙	c=1 d=4.37894e-80 t=48101
man 	慢	c=75 d=0.918512 t=48101
man 	滿	c=2 d=8.72768e-47 t=48101
man dian 	慢點	c=2 d=4.3755e-12 t=48101
man hua 	漫畫	c=1 d=1.28635e-80 t=48101
man le 	滿了	c=1 d=8.68415e-47 t=48101
man man 	慢慢	c=4 d=8.00285e-27 t=48101
man man 	滿滿	c=1 d=8.32324e-77 t=48101
man man lai 	慢慢來	c=5 d=7.86201e-24 t=48101
man man yi 	滿滿一	c=1 d=1.21465e-23 t=48101
man yi 	滿意	c=4 d=2.3146e-19 t=48101
man yi dian 	慢一點	c=1 d=2.0753e-60 t=48101
man yi xie 	慢一些	c=1 d=7.06369e-29 t=48101
man yuan 	埋怨	c=0 d=6.46892e-54 t=48101
man yuan wo 	埋怨我	c=1 d=6.50135e-53 t=48101
man zu 	滿足	c=2 d=1.80675e-18 t=48101
mang 	忙	c=1 d=1.18479e-83 t=48101
mang she 	蟒蛇	c=2 d=2.12547e-09 t=48101
mao 	毛	c=1 d=1.21358e-42 t=48101
mao bo li 	毛玻璃	c=2 d=3.92573e-81 t=48101
mao chu lai 	冒出來	c=1 d=3.68957e-06 t=48101
mao dun 	矛盾	c=1 d=2.00092e-13 t=48101
mao mei 	冒昧	c=2 d=2.02906e-49 t=48101
mao zi 	帽子	c=1 d=0.00484407 t=48101
me me da 	麼麼噠	c=1 d=4.18639e-51 t=48101
mei 	每	c=6 d=1.3821e-13 t=48101
mei 	沒	c=106 d=0.630667 t=48101
mei 	美	c=4 d=1.0183 t=46525
mei ban 	美版	c=2 d=1 t=45591
mei ban fa 	沒辦法	c=3 d=5.71598e-09 t=48101
mei bian 	沒變	c=1 d=9.49389e-37 t=48101
mei bian hua 	沒變化	c=1 d=2.84186e-23 t=48101
mei cheng gong 	沒成功	c=2 d=1.13879e-29 t=48101
mei ci 	每次	c=4 d=0.0119742 t=48101
mei cuo 	沒錯	c=6 d=2.96963e-11 t=48101
mei du shu 	沒讀書	c=1 d=1 t=44979
mei fa 	沒法	c=2 d=0.000699601 t=48101
mei fa 	沒發	c=5 d=0.000696112 t=48101
mei gao dong 	沒搞懂	c=1 d=2.96338e-45 t=48101
mei ge 	每個	c=2 d=2.37526e-60 t=48101
mei ge ji du 	每個季度	c=1 d=2.07919e-82 t=48101
mei ge ren 	每個人	c=5 d=3.55457e-38 t=48101
mei ge yue 	每個月	c=24 d=6.20596e-06 t=48101
mei guan 	美觀	c=2 d=7.78232e-79 t=48101
mei guan xi 	沒關係	c=50 d=0.0200405 t=48101
mei guo 	美國	c=4 d=1.94714e-16 t=48101
mei guo ma 	美國碼	c=1 d=1.87296e-59 t=48101
mei hao 	美好	c=1 d=1.39277e-74 t=48101
mei hua 	美化	c=8 d=7.08773e-61 t=48101
mei hui 	沒回	c=1 d=3.68482e-79 t=48101
mei jian 	每件	c=1 d=3.9879e-09 t=48101
mei jie chu guo 	沒接觸過	c=1 d=2.59939e-62 t=48101
mei jie jue 	沒解決	c=1 d=3.81308e-11 t=48101
mei jin nong 	美津濃	c=1 d=2.56025e-60 t=48101
mei jing yan 	沒經驗	c=1 d=4.78496e-35 t=48101
mei le 	沒了	c=1 d=1.41849e-54 t=48101
mei neng 	沒能	c=2 d=3.20865e-10 t=48101
mei nian 	每年	c=2 d=5.71501e-07 t=48101
mei nong hao 	沒弄好	c=1 d=1.41821e-81 t=48101
mei nv 	美女	c=1 d=2.75816e-83 t=48101
mei qi yong 	沒啓用	c=1 d=8.49772e-27 t=48101
mei qian 	沒錢	c=1 d=5.10789e-68 t=48101
mei qu 	沒去	c=2 d=2.84784e-54 t=48101
mei qu 	美区	c=2 d=5.14624e-09 t=48101
mei ren 	沒人	c=2 d=4.47759e-48 t=48101
mei ren kan 	沒人看	c=1 d=3.32443e-74 t=48101
mei ri 	每日	c=1 d=2.29115e-77 t=48101
mei ri mei ye 	沒日沒夜	c=1 d=1.17972e-62 t=48101
mei rong 	美容	c=1 d=1 t=41645
mei sha 	沒啥	c=6 d=7.04928e-05 t=48101
mei sha yong 	沒啥用	c=1 d=1.78598e-29 t=48101
mei shen 	沒審	c=1 d=7.59111e-82 t=48101
mei shen me 	沒什麼	c=1 d=5.6219e-49 t=48101
mei shi 	沒事	c=1 d=9.98947e-18 t=48101
mei shi ba 	沒事吧	c=1 d=2.30977e-84 t=48101
mei shou dao 	沒收到	c=6 d=1.56519e-24 t=48101
mei shuo 	沒說	c=5 d=0.327915 t=48101
mei ti 	媒體	c=2 d=2.88834e-08 t=48101
mei ti 	美體	c=1 d=1 t=41647
mei tian 	每天	c=5 d=1.06495e-05 t=48101
mei tu 	美圖	c=2 d=5.37056e-61 t=48101
mei tu pian 	沒圖片	c=1 d=1.78294e-09 t=48101
mei wan 	沒玩	c=1 d=4.27533e-63 t=48101
mei wan guo 	沒玩過	c=1 d=6.03672e-63 t=48101
mei wen ti 	沒問題	c=5 d=1.59804e-15 t=48101
mei xiang dao 	沒想到	c=1 d=1.80639e-45 t=48101
mei yan 	美顏	c=1 d=1.41113e-81 t=48101
mei yi bu 	每一步	c=1 d=2.28771e-30 t=48101
mei yi bu ati shu 	每一步ATI蜀	c=1 d=4.36007e-88 t=48101
mei yi si 	沒意思	c=1 d=8.18234e-82 t=48101
mei yong 	沒用	c=8 d=0.147536 t=48101
mei yong guo 	沒用過	c=1 d=1.24943e-61 t=48101
mei you 	沒有	c=116 d=1.62604 t=48101
mei you qian 	沒有錢	c=1 d=6.73293e-53 t=48101
mei yu dao 	沒遇到	c=1 d=8.54177e-29 t=48101
mei yuan 	美元	c=3 d=1.00034 t=46878
mei yue 	每月	c=1 d=3.57615e-21 t=48101
mei zen me 	沒怎麼	c=1 d=6.8203e-87 t=48101
mei zhao dao 	沒找到	c=1 d=1.85155e-12 t=48101
mei zhou 	每週	c=3 d=2.62113e-13 t=48101
mei zhu yi 	沒主意	c=1 d=2.52393e-39 t=48101
mei zi 	妹子	c=8 d=9.46785e-48 t=48101
men 	們	c=7 d=0.00185357 t=48101
men 	門	c=9 d=6.82347e-33 t=48101
men hu 	門戶	c=1 d=5.92846e-56 t=48101
meng 	孟	c=2 d=1.99501 t=44766
meng bi 	懵逼	c=1 d=3.52782e-08 t=48101
meng ceng 	蒙層	c=7 d=1.13705e-11 t=48101
meng le 	懵了	c=1 d=3.60952e-42 t=48101
meng pian 	矇騙	c=2 d=7.8991e-57 t=48101
meng zi 	孟子	c=1 d=2.97915e-78 t=48101
mi 	密	c=1 d=1 t=48050
mi 	米	c=3 d=1.63994e-47 t=48101
mi a 	米啊	c=1 d=3.02994e-71 t=48101
mi bai 	米白	c=1 d=4.44285e-74 t=48101
mi gao 	米糕	c=1 d=1.0377e-53 t=48101
mi huang 	米黃	c=1 d=4.48751e-74 t=48101
mi ma 	密碼	c=69 d=1.43293 t=48101
mi ni 	迷你	c=0 d=9.34429e-57 t=48101
mi ni shi jie 	迷你世界	c=1 d=9.39113e-56 t=48101
mi qi 	米奇	c=1 d=1.33452e-42 t=48101
mi yao 	密鑰	c=1 d=2.0543e-58 t=48101
mian 	免	c=2 d=0.000112788 t=48101
mian 	麪	c=7 d=0.0692522 t=48101
mian bao 	麪包	c=2 d=2.10421e-09 t=48101
mian bao chong 	面包虫	c=1 d=1.05471e-09 t=48101
mian bei 	棉被	c=1 d=1.04867e-59 t=48101
mian fei 	免費	c=64 d=0.941765 t=48101
mian fei ban 	免費版	c=2 d=0.778801 t=48101
mian ku 	棉褲	c=1 d=7.34547e-48 t=48101
mian mi 	免密	c=4 d=0.267135 t=48101
mian mi 	綿密	c=1 d=0.265803 t=48101
mian shi 	面試	c=5 d=1.71595e-29 t=48101
mian shuang 	面霜	c=2 d=0.543351 t=48101
mian xiang 	面向	c=1 d=2.96811e-05 t=48101
miao 	秒	c=1 d=1.41185e-87 t=48101
miao fa 	秒發	c=1 d=0.0132999 t=48101
miao shu 	描述	c=6 d=0.514274 t=48101
mie 	咩	c=0 d=6.69614e-19 t=48101
mie yi bu 	咩一步	c=1 d=6.72971e-18 t=48101
min 	敏	c=3 d=5.97227e-78 t=48101
min gan 	敏感	c=1 d=1.15534e-81 t=48101
ming 	名	c=15 d=0.143704 t=48101
ming bai 	明白	c=19 d=1.34261e-10 t=48101
ming bai ren 	明白人	c=1 d=8.25754e-72 t=48101
ming cheng 	名稱	c=8 d=1.90017e-06 t=48101
ming dan 	名單	c=1 d=1 t=48089
ming de 	明德	c=3 d=2.37343e-78 t=48101
ming ling 	命令	c=25 d=2.48559e-06 t=48101
ming ling hang 	命令行	c=1 d=2.9146e-85 t=48101
ming ming 	命名	c=7 d=3.99867e-10 t=48101
ming nian 	明年	c=4 d=3.44061e-37 t=48101
ming pian 	名片	c=3 d=2.16147e-68 t=48101
ming que 	明確	c=2 d=0.000221339 t=48101
ming tian 	明天	c=31 d=0.965605 t=48101
ming xian 	明顯	c=2 d=8.58924e-06 t=48101
ming xiao 	名校	c=1 d=6.25215e-05 t=48101
ming xing 	明星	c=2 d=0.0049667 t=48101
ming yi 	名義	c=1 d=3.80169e-64 t=48101
ming zhong 	命中	c=6 d=0.00188168 t=48101
ming zi 	名字	c=6 d=8.87511e-20 t=48101
mo 	摸	c=5 d=7.32788e-48 t=48101
mo 	莫	c=1 d=2.99998e-13 t=48101
mo diao 	抹掉	c=2 d=4.96124e-87 t=48101
mo hu 	模糊	c=5 d=1.37802 t=48101
mo ji 	磨嘰	c=1 d=1.38536e-70 t=48101
mo kuai 	模塊	c=6 d=1.8912e-26 t=48101
mo kuai ming 	模塊名	c=1 d=8.37209e-87 t=48101
mo ming 	莫名	c=1 d=2.77198e-83 t=48101
mo ming qi miao 	莫名其妙	c=6 d=3.67117e-06 t=48101
mo ni 	模擬	c=1 d=1.1971e-87 t=48101
mo ni qi 	模擬器	c=2 d=6.38585e-74 t=48101
mo ren 	默認	c=9 d=0.25924 t=48101
mo ren zhi 	默認值	c=1 d=1 t=45932
mo sha 	磨砂	c=3 d=2.05179e-73 t=48101
mo sheng ren 	陌生人	c=1 d=2.20288e-56 t=48101
mo shi 	模式	c=13 d=0.574072 t=48101
mo shou 	魔獸	c=1 d=1 t=41661
mo shu shou 	魔術手	c=1 d=1.66893e-55 t=48101
mo xing 	模型	c=7 d=0.000134358 t=48101
mou 	某	c=7 d=0.0995012 t=48101
mou ge 	某個	c=4 d=1.74823e-13 t=48101
mou kuan 	某款	c=0 d=3.67406e-75 t=48101
mou kuan xie 	某款鞋	c=1 d=3.69247e-74 t=48101
mou lei 	某類	c=1 d=1.41527e-86 t=48101
mou xie 	某些	c=1 d=6.45552e-58 t=48101
mou yi hang 	某一行	c=1 d=1 t=48101
mou yi kuan 	某一款	c=1 d=8.83642e-75 t=48101
mu 	目	c=1 d=1.47282e-55 t=48101
mu ban 	模板	c=8 d=1.06344e-18 t=48101
mu biao 	目標	c=2 d=1.10225e-57 t=48101
mu bu 	幕布	c=1 d=2.92672e-75 t=48101
mu di 	目的	c=2 d=4.10559e-57 t=48101
mu ke wang 	慕課網	c=15 d=0.00777531 t=48101
mu lu 	目錄	c=12 d=0.591555 t=48101
mu qian 	目前	c=15 d=0.137201 t=48101
mu se sen lin 	暮色森林	c=1 d=6.13755e-52 t=48101
mu yu lou 	沐浴露	c=1 d=1.15318e-59 t=48101
na 	哪	c=6 d=2.95539e-42 t=48101
na 	拿	c=2 d=8.43036e-51 t=48101
na 	那	c=50 d=0.00264593 t=48101
na bang ren 	那幫人	c=1 d=1.99943e-63 t=48101
na bian 	那邊	c=20 d=6.01314e-05 t=48101
na bu 	哪步	c=2 d=7.40393e-16 t=48101
na bu dao 	拿不到	c=1 d=5.23274e-58 t=48101
na dao 	拿到	c=1 d=4.25545e-67 t=48101
na dao le 	拿到了	c=1 d=5.57924e-77 t=48101
na dao qian 	拿到錢	c=1 d=9.26865e-78 t=48101
na de 	那得	c=1 d=0.00267181 t=48101
na feng 	那封	c=1 d=1.84419e-24 t=48101
na ge 	哪個	c=27 d=0.800895 t=48101
na ge 	那個	c=36 d=0.00242967 t=48101
na ge bu zhou 	哪個步驟	c=1 d=9.79333e-20 t=48101
na ge hao 	哪個好	c=1 d=0.458406 t=48101
na ge qun 	哪個羣	c=1 d=9.59125e-10 t=48101
na ge ren 	那個人	c=13 d=3.88006e-10 t=48101
na hui 	那會	c=2 d=1.18955e-42 t=48101
na ji tian 	那幾天	c=1 d=1 t=40833
na jiu 	那就	c=19 d=1.01474e-14 t=48101
na jiu cheng gong 	那就成功	c=1 d=6.46693e-20 t=48101
na jiu de 	那就得	c=1 d=3.26547e-40 t=48101
na jiu hang 	那就行	c=1 d=1.31278e-84 t=48101
na jiu hao 	那就好	c=1 d=3.2637e-63 t=48101
na jiu ke yi 	那就可以	c=1 d=1.34862e-48 t=48101
na jiu shi 	那就是	c=1 d=0.000997758 t=48101
na kua 	哪跨	c=1 d=2.13008e-43 t=48101
na kuan 	哪款	c=1 d=2.06713e-43 t=48101
na li 	哪裏	c=11 d=6.24737e-07 t=48101
na li 	那裏	c=3 d=1.6535e-34 t=48101
na me 	那麼	c=8 d=0.000144823 t=48101
na me da 	那麼大	c=1 d=1.90056e-84 t=48101
